ID_Empleado,Nombre,Edad,Genero,Departamento,Puesto,Fecha_Ingreso,Salario,Evaluacion_Desempeno,Satisfaccion_General,Satisfaccion_Liderazgo,Balance_VidaTrabajo,Ambiente_Trabajo,Horas_Capacitacion,Riesgo_Rotacion,Estado_Empleado
035,Iván Medina,39,M,TI,Arquitecto,2017-09-05,8500,95,5.0,5.0,4.8,4.9,52,2,Activo
036,Rosa Cortés,35,F,Operaciones,Analista,2019-10-28,4100,80,3.7,3.8,3.6,3.9,18,28,Activo
037,Mario Guerrero,42,M,Finanzas,Director,2014-11-12,9500,91,4.6,4.7,4.2,4.8,30,9,Activo
038,Sandra Fuentes,28,F,RRHH,Generalista,2020-06-22,4000,85,4.3,4.4,4.7,4.2,28,17,Activo
039,Eduardo Gil,36,M,Ventas,Vendedor Senior,2018-12-10,4200,78,3.5,3.4,3.6,3.7,16,40,Activo
040,Paola Montes,31,F,TI,Product Owner,2020-09-14,6200,89,4.6,4.7,4.5,4.6,46,10,Activo
041,Alberto Suárez,44,M,Operaciones,Jefe Logística,2016-04-18,5800,81,3.8,3.7,3.5,4.0,20,29,Activo
042,Lucía Domínguez,29,F,Finanzas,Analista,2021-05-26,3800,84,4.2,4.3,4.1,4.1,24,21,Activo
043,Guillermo Valdés,37,M,Ventas,Supervisor,2019-01-07,5100,83,3.9,4.0,3.8,4.0,22,25,Activo
044,Natalia Estrada,32,F,TI,UX Designer,2020-11-30,5400,92,4.8,4.9,4.7,4.8,48,5,Activo
045,Óscar Mendoza,41,M,Operaciones,Coordinador,2017-07-24,4700,79,3.6,3.5,3.4,3.8,18,36,Activo
046,Mariana Ponce,27,F,RRHH,Asistente,2021-09-05,3500,82,4.1,4.2,4.5,4.0,22,22,Activo
047,Víctor Aguilar,35,M,Finanzas,Contador Senior,2018-08-13,5600,86,4.3,4.4,4.0,4.4,26,14,Activo
048,Carolina Bravo,30,F,Ventas,Key Account,2020-03-02,5800,90,4.7,4.6,4.4,4.7,34,7,Activo
049,Javier Ibarra,43,M,TI,CTO,2015-01-20,12000,94,4.9,4.8,4.3,4.9,40,4,Activo
050,Adriana León,33,F,Operaciones,Supervisora,2019-06-11,4500,82,3.9,4.0,3.9,4.1,20,24,Activo
